model,hardware,batch_size,policy,decode_tokens_per_sec,decode_ms_per_token,first_token_latency_ms,peak_vram_mb,run_id
Qwen3-1.7B,A10G,1,baseline,15.6895,63.8874,68.3374,1488.33,R3_Q17B
Qwen3-1.7B,A10G,1,bits,18.4842,54.1166,55.1588,4825.36,G2B03_Q17B
Qwen3-1.7B,A10G,1,rank,19.9779,50.0631,52.8372,1634.43,G2R02_Q17B
Qwen3-1.7B,A10G,8,baseline,138.0313,7.2448,303.5549,2030.62,R3_Q17B
Qwen3-1.7B,A10G,8,bits,140.3932,7.1271,283.0136,5366.27,G2B03_Q17B
Qwen3-1.7B,A10G,8,rank,118.7763,8.4514,283.6735,2178.47,G2R02_Q17B
Qwen3-8B,A100,1,baseline,13.9960,71.4508,76.2555,6178.06,R3_Q8B
Qwen3-8B,A100,1,bits,13.7762,72.5901,77.7610,6255.19,G2B02_Q8B
Qwen3-8B,A100,1,rank,8.5127,117.4797,123.2996,6444.69,G2R02_Q8B
Qwen3-8B,A100,8,baseline,69.4134,14.4075,361.2871,6958.13,R3_Q8B
Qwen3-8B,A100,8,bits,112.0511,8.9306,346.4224,22663.13,G2B02_Q8B
Qwen3-8B,A100,8,rank,115.5812,8.6520,346.0992,7230.34,G2R02_Q8B
