run_id,path,model_label,quantizer,policy,family,is_full_precision,is_baseline,perplexity,memory_mb,latency_ms_per_token,avg_downstream_score,delta_ppl_vs_baseline,delta_avg_score_vs_baseline,added_mb_vs_baseline,quality_recovered_fraction,avg_score_delta_per_mb,quality_recovered_per_mb,task_hellaswag,task_arc_easy,task_arc_challenge,task_winogrande,task_piqa,task_boolq
DS_FP_Q17B,results/modal/downstream_qwen3_1p7b/DS_FP_Q17B,Qwen3-1.7B,GPTQ,full_precision,gptq_q17b,True,False,15.034692030741335,3281.736328125,0.1154596976400346,0.6856256026061087,0.8663434361505988,0.011829838351943622,1987.630576133728,1.0,5.9517289047518205e-06,0.0005031116003181871,0.6652061342362079,0.6830808080808081,0.5563139931740614,0.65982636148382,0.7578890097932536,0.7914373088685015
DS_R3_Q17B,results/modal/downstream_qwen3_1p7b/DS_R3_Q17B,Qwen3-1.7B,GPTQ,baseline_4bit,gptq_q17b,False,True,15.901035466891933,1294.105751991272,0.12658080563760246,0.6737957642541651,0.0,0.0,0.0,0.0,0.0,0.0,0.6325433180641307,0.7167508417508418,0.5170648464163823,0.6456195737963694,0.7421109902067464,0.7886850152905199
DS_G2B03_Q17B,results/modal/downstream_qwen3_1p7b/DS_G2B03_Q17B,Qwen3-1.7B,GPTQ,bits,gptq_q17b,False,False,15.891372850279888,1319.105751991272,0.12487613946820104,0.6769019609075682,0.009662616612045483,0.0031061966534030594,25.0,0.26257304292688977,0.00012424786613612237,0.01050292171707559,0.6294562836088429,0.7226430976430976,0.5221843003412969,0.6535122336227308,0.7415669205658324,0.7920489296636085
DS_G2R02_Q17B,results/modal/downstream_qwen3_1p7b/DS_G2R02_Q17B,Qwen3-1.7B,GPTQ,rank,gptq_q17b,False,False,15.8822943408655,1297.918251991272,0.11850000612667505,0.6726367245983104,0.018741126026434074,-0.0011590396558547322,3.8125,-0.09797595042068381,-0.00030401040153566747,-0.02569860994640887,0.6311491734714201,0.7133838383838383,0.5127986348122867,0.6456195737963694,0.7426550598476604,0.7902140672782875
DS_H2R02M_Q17B,results/modal/downstream_qwen3_1p7b/DS_H2R02M_Q17B,Qwen3-1.7B,GPTQ,hybrid,gptq_q17b,False,False,15.89620325388434,1304.918251991272,0.12190042935221505,0.6727287423858133,0.004832213007594177,-0.0010670218683518362,10.8125,-0.0901975019951584,-9.868410343138369e-05,-0.008341965502442395,0.6291575383389763,0.7117003367003367,0.5162116040955631,0.6456195737963694,0.7410228509249184,0.7926605504587156
DS_FP_Q8B,results/modal/downstream_qwen3_8b/DS_FP_Q8B,Qwen3-8B,GPTQ,full_precision,gptq_q8b,True,False,11.214767587429558,15622.587890625,0.10250464131052332,0.7765498858812185,0.5822012391190032,0.000994472341487862,9801.38293170929,1.0,1.0146245161696108e-07,0.00010202641881941116,0.7866958773152758,0.8005050505050505,0.674061433447099,0.7742699289660616,0.79379760609358,0.8299694189602447
DS_R3_Q8B,results/modal/downstream_qwen3_8b/DS_R3_Q8B,Qwen3-8B,GPTQ,baseline_4bit,gptq_q8b,False,True,11.79696882654856,5821.20495891571,0.15268121986916058,0.7755554135397307,0.0,0.0,0.0,0.0,0.0,0.0,0.7745469030073691,0.8127104377104377,0.6663822525597269,0.7624309392265194,0.8008705114254625,0.8363914373088684
DS_G2B02_Q8B,results/modal/downstream_qwen3_8b/DS_G2B02_Q8B,Qwen3-8B,GPTQ,bits,gptq_q8b,False,False,11.782303101845551,5865.20495891571,0.2519415023905302,0.7748943352177682,0.01466572470300953,-0.0006610783219624938,44.0,-0.6647528487051065,-1.5024507317329405e-05,-0.015108019288752422,0.7751443935471022,0.811026936026936,0.6663822525597269,0.7632202052091555,0.8008705114254625,0.8327217125382264
DS_G2R02_Q8B,results/modal/downstream_qwen3_8b/DS_G2R02_Q8B,Qwen3-8B,GPTQ,rank,gptq_q8b,False,False,11.796233276237755,5826.32995891571,0.1738637806258964,0.7758166082923189,0.0007355503108055217,0.0002611947525882341,5.125,0.26264657315401274,5.096482977331397e-05,0.05124811183492931,0.7742481577375024,0.8135521885521886,0.6655290102389079,0.7632202052091555,0.8019586507072906,0.8363914373088684
DS_H2R02_Q8B,results/modal/downstream_qwen3_8b/DS_H2R02_Q8B,Qwen3-8B,GPTQ,hybrid,gptq_q8b,False,False,11.789468230287207,5870.32995891571,0.23505226696213682,0.7748180705392691,0.007500596261353465,-0.0007373430004615766,49.125,-0.7414414355239022,-1.5009526726953213e-05,-0.015092955430512004,0.7752439753037244,0.8114478114478114,0.6663822525597269,0.7640094711917916,0.8003264417845484,0.8314984709480122
DS_FP_S3B,results/modal/downstream_smollm3_3b/DS_FP_S3B,SmolLM3-3B,GPTQ,full_precision,gptq_s3b,True,False,10.824901275585061,5865.28515625,0.1342209330510833,0.7403600256144549,0.7205763176296056,0.020199533523160618,3967.246500968933,1.0,5.091575105864287e-06,0.00025206399444949206,0.7524397530372435,0.7689393939393939,0.5998293515358362,0.7348066298342542,0.7840043525571273,0.8021406727828746
DS_R3_S3B,results/modal/downstream_smollm3_3b/DS_R3_S3B,SmolLM3-3B,GPTQ,baseline_4bit,gptq_s3b,False,True,11.545477593214667,1898.038655281067,0.1963544065635143,0.7201604920912943,0.0,0.0,0.0,0.0,0.0,0.0,0.739892451702848,0.7407407407407407,0.5546075085324232,0.7190213101815311,0.7731229597388466,0.7935779816513762
DS_G3B02_S3B,results/modal/downstream_smollm3_3b/DS_G3B02_S3B,SmolLM3-3B,GPTQ,bits,gptq_s3b,False,False,11.548343137492862,1905.038655281067,0.1530764821484446,0.7222093193306867,-0.002865544278195742,0.00204882723939237,7.0,0.10142943336009229,0.00029268960562748144,0.014489919051441756,0.740390360485959,0.7369528619528619,0.5656996587030717,0.7221783741120757,0.7845484221980413,0.7834862385321101
DS_G3R02_S3B,results/modal/downstream_smollm3_3b/DS_G3R02_S3B,SmolLM3-3B,GPTQ,rank,gptq_s3b,False,False,11.64821293633937,1907.804280281067,0.10347942741583524,0.7219545623677592,-0.1027353431247029,0.001794070276464943,9.765625,0.08881741127377406,0.00018371279631001017,0.009094902914434464,0.7415853415654252,0.7365319865319865,0.5614334470989761,0.7182320441988951,0.7812840043525572,0.7926605504587156
DS_R2_Q17B,results/modal/downstream_qwen3_1p7b_rtn/DS_R2_Q17B,Qwen3-1.7B,RTN,baseline_4bit,rtn_q17b,False,True,21.25404221880177,846.01171875,0.09044944820734992,0.647160545210142,0.0,0.0,0.0,0.0,0.0,0.0,0.6280621390161323,0.6447811447811448,0.4974402730375427,0.6227308602999211,0.736126224156692,0.753822629969419
DS_P2B03_Q17B,results/modal/downstream_qwen3_1p7b_rtn/DS_P2B03_Q17B,Qwen3-1.7B,RTN,bits,rtn_q17b,False,False,21.096304954937338,860.01171875,0.09074428528900715,0.6476781425433266,0.15773726386443343,0.0005175973331845718,14.0,0.01345629951507221,3.697123808461227e-05,0.0009611642510765864,0.6283608842859988,0.6380471380471381,0.5025597269624573,0.6337805840568271,0.7328618063112078,0.7504587155963303
DS_P2R02_Q17B,results/modal/downstream_qwen3_1p7b_rtn/DS_P2R02_Q17B,Qwen3-1.7B,RTN,rank,rtn_q17b,False,False,21.248177603560205,850.26171875,0.09083452862824377,0.6487581087984803,0.005864615241566895,0.001597563588338291,4.25,0.04153285336071809,0.0003758973149031273,0.009772436084874844,0.6274646484763992,0.6426767676767676,0.5,0.6306235201262825,0.736126224156692,0.7556574923547401
